"","2021-05-18","2021-05-25","2021-06-01","2021-06-08","2021-06-15"
" 1 dollar items ","3932","3982","3753","3244","2989"
" 1 gallon water bottle with straw ","null","null","null","10813","10192"
" 11 pro max case ","null","51775","55987","54798","50001"
" 1 year old boy gifts ","4909","4763","5390","4766","4514"
" 1 year old girl gifts ","4732","4913","5239","4557","4134"
" 1/2 gallon water bottle ","null","17268","17664","17723","16770"
" 10 year old girl gifts ","null","null","56141","55259","52162"
" 100 ft garden hose ","16402","8063","7939","10441","8954"
" 1000 piece puzzle ","null","null","10441","6275","6190"
" 10000 btu window air conditioner ","null","null","null","51229","17892"
" 1080p webcam ","null","null","null","17419","13480"
" 10x10 pop up canopy ","7725","5511","5314","5051","4700"
" 21 birthday decorations for her ","51716","54751","52690","52846","52536"
" 21 jump street ","11126","12369","13724","12815","12720"
" 12 pro max iphone case ","null","null","8817","4282","3279"
" 12 volt power supply ","52171","null","53970","58159","54216"
" 2021 graduation party supplies ","null","null","null","4106","3572"
" 2021 planner ","10617","12086","13486","11568","6812"
" 2021-2022 planner weekly and monthly ","null","null","null","57851","17906"
" 21st birthday decorations ","6989","6744","6973","7156","6285"
" 21st birthday gifts for her ","10661","10413","10573","11647","10181"
" 12v battery ","14315","13051","13432","14193","13976"
" 3 in 1 charging station apple ","52772","52324","null","14123","11130"
" 15 pound dumbbells ","12476","15077","14001","13122","11907"
" 5.11 backpack ","null","54363","null","55813","51356"
" 16 gb ram ","50796","55678","57391","53225","51890"
" 16x20 frame ","9121","null","8635","6598",""
" 18 x 18 pillow inserts ","null","null","null","15920","14464"
" 8.5 x 11 frame ","16902","17040","null","16298","12289"
" 18650 battery ","4637","4968","4838","4644","4195"
" 8x10 picture frames ","null","null","null","17543","1837"
" 18x24 frame ","12326","13226","13467","14670","13684"
" 18x52 above ground pool ","null","15528","11749","16039","14517"
" a21 phone case ","null","55542","52247","54395","51097"
" academic planner 2021-2022 ","14495","13523","13474","12012","10825"
" ar15accesories ","18007","null","18453","18151",""
" arcade1up ","11701","12994","13220","13525","9343"
" area rugs 8x10 clearance ","null","15258","10457","5195","2534"
" b12 ","4944","5389","4883","4972","4668"
" b12 vitamins ","3727","4387","4327","4134","4065"
" baby hats 6-12 months ","null","null","null","56548","56039"
" baby toys 6 to 12 months ","3580","3244","3378","4142","3961"
" bath toys for toddlers 1-3 ","6721","6729","6822","7115","6682"
" beach toys for kids 3-10 ","14560","12080","10361","10199","9374"
" beach toys for kids 8-10 ","null","17167","14773","14605","13903"
" bibs pacifier 6-18 ","15918","17541","16058","15235","14987"
" bilstein 5100 ","50085","null","56022","53732",""
" biotin 10000mcg ","4864","5011","5970","5853","5406"
" board games for kids 8-12 ","null","null","16868","16702","15774"
" bollywood movies 2021 ","null","null","15392","10284","6640"
" books for 1 year old ","16021","16129","16274","15476","14301"
" brooks ghost 13 ","null","null","null","12976","11036"
" calendar 2021 monthly wall ","7963","7612","6994","6132","5808"
" canopy tent 10x10 ","4029","3189","2400","2511","2385"
" car toys for toddlers 1-3 ","null","null","null","57626","50372"
" case for iphone 11 ","null","8623","5165","5827","5113"
" case for iphone 12 ","12625","15729","15838","12747","11337"
" case for iphone 12 pro ","14703","18471","null","17655","17392"
" case for iphone 12 pro max ","2463","3047","3779","3010","2751"
" cheap stuff under 1 dollar ","11829","11954","11036","10413","9400"
" chlorine tablets 1 inch ","null","7258","4604","5174","3889"
" clear iphone 11 case ","11982","11304","11306","11856","10721"
" coenzyme q10 ","53066","null","55770","54425","50930"
" condoms 100 pack variety ","18020","17561","12134","12212","11638"
" coq10 ","3406","3499","3657","3351","3312"
" craft kits for kids 8-12 ","null","null","57307","57744","55246"
" crafts for kids ages 8-12 ","null","null","17663","13017","6981"
" curtain rods for windows 66 to 144 ","null","null","16441","4740","2199"
" cute iphone 11 case ","13287","14491","14090","12306","12219"
" daily planner 2021-2022 ","null","18176","13153","7473","6885"
" dell xps 15 ","14506","14807","16943","15614","13515"
" dresses for women summer 2021 ","null","6739","1204","343","277"
" dymatize iso 100 ","10509","10607","12118","11759","10844"
" farm animals for toddlers 1-3 ","51868","54885","null","56891","56191"
" fat brain toys for 1 year old ","null","null","null","56045","54880"
" fidget packs under 10 dollars ","3625","13558","5957","2129","1989"
" fidget packs with 100 fidget in them ","4692","4203","3642","2945","2505"
" fire stick 4k ultra hd 2021 ","null","null","null","18069","12476"
" galaxy s10 case ","6710","6028","6309","6831","5934"
" galaxy s21  case ","null","null","10460","4071","3415"
" galaxy s21 case ","1601","1645","2031","3820","3776"
" galaxy s21 ultra case ","5568","6474","5050","4551","3409"
" garbage bags 13 gallon tall kitchen ","null","null","null","10818","7911"
" gifts for 1 year old girl ","null","null","null","17249","16575"
" gifts for 10 year old girl ","13703","14459","16420","13341","12047"
" girls swimsuits size 10-12 ","null","null","null","17265","2799"
" glass screen protector iphone 11 ","null","null","null","58042","55483"
" glock 19 holster ","12379","13324","12020","12060","11482"
" gtx 1650 ","6983","6642","7586","7884","7570"
" gun case for ar - 15 ","null","null","null","14828","14313"
" hangers 100 pack ","5990","5360","5218","6019","5162"
" harry potter book 1 ","53152","null","54268","50884",""
" harry potter movies set 1-8 on prime video ","13219","14812","14400","8876","8358"
" hdmi 2.1 cable ","12687","11206","null","13656","13621"
" hearing aid batteries size 312 ","16170","17301","17913","18347","15322"
" hindi movies 2021 ","786","793","589","488","420"
" hoverboard for kids ages 6-12 ","3390","3676","3757","1844","966"
" huge pop it fidget toy 1000 bubbles ","null","null","null","57040","52815"
" huggies size 1 ","14123","13790","null","57269","55192"
" intex pool 15x48 ","15151","8653","7571","10712","7804"
" ipad 10.2 case ","9489","10289","11207","10724","10292"
